OBJECTID,Name,Support Centre,Latitude,Longitude,Council Area,Unit Operating Times,Date,Lifesaving Area,x,y
1406,West Strand Blackrocks,Ballymoney,55.200584,-6.655903,Causeway Coast and Glens,https://rnli.org/find-my-nearest/lifeguarded-beaches/portrush-west-beach,2011,IR1,-6.65590299999997,55.200584
1407,West Strand Harbour,Ballymoney,55.203795,-6.65456,Causeway Coast and Glens,https://rnli.org/find-my-nearest/lifeguarded-beaches/portrush-west-harbour-beach,2014,IR1,-6.65455999999995,55.2037950000001
1408,Portstewart Strand,Ballymoney,55.170763,-6.730003,National Trust,https://rnli.org/find-my-nearest/lifeguarded-beaches/portstewart-strand-beach,2011,IR1,-6.73000299999995,55.1707630000001
1409,Praa Sands,Helston,50.103698,-5.389799,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/praa-sands-beach,2008,SW4,-5.38979899999993,50.1036980000001
1410,Ramsgate,Ramsgate,51.33181,1.424563,Thanet,https://rnli.org/find-my-nearest/lifeguarded-beaches/ramsgate-main-beach,2012,SE2,1.42456300000003,51.3318100000001
1411,Redcar ,Scarborough,54.619683,-1.067079,Redcar and Cleveland,https://rnli.org/find-my-nearest/lifeguarded-beaches/redcar-beach,2012,NE2,-1.06707899999998,54.6196830000001
1412,Roker,Boldon,54.925326,-1.365659,Sunderland,https://rnli.org/find-my-nearest/lifeguarded-beaches/roker-beach,2009,NE1,-1.36565899999994,54.925326
1413,Saltburn,Scarborough,54.586693,-0.972481,Redcar and Cleveland,https://rnli.org/find-my-nearest/lifeguarded-beaches/saltburn-beach,2012,NE2,-0.972480999999959,54.5866930000001
1414,Sandbanks,Poole,50.688283,-1.93755,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/sandbanks-beach,2001,SE5,-1.93754999999993,50.6882830000001
1415,Sandhaven (Centre Beach) ,Boldon,55.001327,-1.414046,South Tyneside,https://rnli.org/find-my-nearest/lifeguarded-beaches/sandhaven-centre-beach,,NE1,-1.41404599999993,55.0013270000001
