OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date,x,y
929,OB02040800,D-Class ILB Blackpool Endeavour,Blackpool ILB D,53.81344223,-3.056097984,Blackpool ILB D,53.81344223,-3.056097984,,D-864,232032296,D-Class,IB1 variant,IB1,MK2IB1,07/07/2021,-3.05609798399996,53.8134422300001
930,OB02038777,D-Class ILB PHYLLIS ROWAN,Blackpool ILB D,53.81344223,-3.056097984,Blackpool ILB D,53.81344223,-3.056097984,,D-862,232032292,D-Class,IB1 variant,IB1,MK2IB1,08/02/2021,-3.05609798399996,53.8134422300001
931,OB02034040,B-Class A85 Patricia Southall,Blyth ILB B,55.12559128,-1.498049021,Blyth ILB B,55.12559128,-1.498049021,,B-923,232023288,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,10/07/2019,-1.49804902099993,55.12559128
932,OB02046371,D-Class ILB Sally Forth,Blyth ILB D,55.12559128,-1.498049021,Blyth ILB D,55.12559128,-1.498049021,,D-878,232046186,D-Class,IB1 variant,IB1,MK2IB1,05/01/2023,-1.49804902099993,55.12559128
933,OB02003510,D-Class CT Edna May,Boldon Support Centre,54.953039,-1.461971,The RNLI College,50.717534,-1.989181,,D-620C,,D-Class,IB1 variant,IB1,MK2CTIB1,15/03/2004,-1.46197099999995,54.953039
934,OB02012578,D-Class ILB Geoffrey Scott,Borth ILB D,52.48120117,-4.051402092,Borth ILB D,52.48120117,-4.051402092,,D-760,235100204,D-Class,IB1 variant,IB1,MK2IB1,05/07/2013,-4.05140209199993,52.4812011700001
935,OB02028519,ON1339 Shannon ALB RUTH AND DAVID ARTHUR,Bridlington ALB,54.0791893,-0.197475001,NULL,NULL,NULL,ON1339,13-32,232009231,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/04/2019,-0.19747500099993,54.0791893000001
936,OB02035382,D-Class ILB ERNIE WELLINGS,Bridlington ILB D,54.0791893,-0.197475001,Bridlington ILB D,54.0791893,-0.197475001,,D-852,232026424,D-Class,IB1 variant,IB1,MK2IB1,18/02/2020,-0.19747500099993,54.0791893000001
937,OB02007401,B-Class A85 Random Harvest,Brighton ILB B,50.81069565,-0.104220003,Brighton ILB B,50.81069565,-0.104220003,,B-852,235088764,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,07/09/2011,-0.104220002999966,50.8106956500001
938,OB02002759,ON1252 Trent ALB Elizabeth of Glamis,Broughty Ferry ALB,56.46497726,-2.877309084,Broughty Ferry ALB,56.46497726,-2.877309084,ON1252,14-31,232004404,Trent,Afloat Boat,AfloatBoat,MK2Trent,14/04/2001,-2.87730908399993,56.4649772600001
